wiki_id,name,primary_name
Q6231399,Gunnar Sigfrid Wallmark,False
Q6231399,Gunnar Wallmark,True
Q6255268,Henrik Åkerlund,True
Q6255268,Åkerlund,False
Q6257757,Sven-Otto Österdahl,True
Q6257757,Österdahl,False
Q6340136,Jan-Erik Wikström,False
Q6340136,Jan-Erik Wikström,True
Q707581,Bengtsson,False
Q707581,Ingemund Bengtsson,True
Q707581,Sten Bertil Ingemund Bengtsson,False
Q927466,Kjell Olof Feldt,False
Q927466,Kjell-Olof Feldt,True
Q927466,Kjell-Olof Fält,False
